Club,Squad,age,Foreigners,Totalmarketvalue
ManchesterCityﾠ,46,24.3,34,1200m
LiverpoolFC,39,24.7,25,1170m
ChelseaFCﾠ,54,25.6,40,1170m
TottenhamHotspur,34,25.4,20,898.60m
ManchesterUnited,36,25.3,22,797.60m
ArsenalFC,42,24.9,28,659.05m
EvertonFC,40,26,28,529.10m
LeicesterCity,37,26.4,26,434.10m
WestHamUnited,37,26.6,23,359.00m
AFCBournemouth,37,25.7,17,310.00m
SouthamptonFC,40,24.9,18,305.40m
WolverhamptonWanderersﾠﾠ,40,24.1,26,302.90m
CrystalPalace,36,26.4,21,289.00m
FulhamFCﾠﾠ,33,25.7,26,254.25m
NewcastleUnited,37,26,23,244.65m
WatfordFC,39,26.2,32,239.10m
BurnleyFC,33,28.1,14,197.25m
Brighton&HoveAlbion,41,25.8,29,194.35m
HuddersfieldTown,33,25.3,21,137.45m
CardiffCityﾠﾠ,35,27.3,20,113.00m
