Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ManchesterCityﾠ,34,25.1,23,30.84m,1050m
LiverpoolFCﾠ,56,23.3,31,17.90m,1000m
TottenhamHotspur,36,24.8,22,22.41m,806.80m
ChelseaFCﾠ,36,24.1,23,19.61m,705.85m
ManchesterUnited,43,23.9,24,15.59m,670.45m
ArsenalFC,38,24.3,23,15.99m,607.65m
EvertonFC,35,26,21,12.02m,420.55m
LeicesterCity,32,25.9,18,12.85m,411.10m
WolverhamptonWanderers,44,23.1,30,7.28m,320.33m
WestHamUnited,38,26.5,25,7.99m,303.60m
AFCBournemouth,39,24.8,17,6.98m,272.18m
NewcastleUnited,41,26,23,6.16m,252.48m
AstonVillaﾠﾠ,38,25.7,22,6.10m,231.70m
SouthamptonFC,36,24.4,18,5.85m,210.75m
Brighton&HoveAlbion,45,24.7,29,4.46m,200.78m
WatfordFC,43,25.7,28,4.64m,199.60m
CrystalPalace,33,26.8,18,5.74m,189.33m
BurnleyFC,35,26.3,12,4.68m,163.88m
NorwichCityﾠ,38,25.5,25,3.82m,145.33m
SheffieldUnitedﾠﾠ,34,27.3,16,4.08m,138.60m
